COUNTRY_NAME,PASSENGERS_TO_INDIA
AFGHANISTAN,29754
AUSTRALIA,17650
AUSTRIA,13009
BAHRAIN,131902
BANGLADESH,82750
BELGIUM,17137
BHUTAN,11970
BURMA,11615
CANADA,24712
CHINA,72014
EGYPT,5490
ETHIOPIA,23616
FINLAND,17067
FRANCE,95054
GEORGIA,1311
GERMANY,158577
HONG KONG,160179
IRAN,11859
IRAQ,2394
ISRAEL,11426
ITALY,16662
JAPAN,38022
JORDAN,1444
KAZAKHSTAN,11411
KENYA,20608
KOREA,19526
KUWAIT,115268
KYRGYZSTAN,3154
MALAYSIA,277961
MALDIVES,33127
MAURITIUS,21982
NEPAL,95863
NETHERLANDS,36005
OMAN,350817
PAKISTAN,7936
QATAR,332240
REUNION,2293
RUSSIA,29517
SAUDI ARABIA,393082
SEYCHELLES,7652
SINGAPORE,423639
SOUTH AFRICA,3312
SRI LANKA,258613
SWITZERLAND,32536
TAIWAN,11062
TAJIKISTAN,2384
THAILAND,339890
TURKEY,52238
TURKMENISTAN,13209
UNITED KINGDOM,322841
UNITED STATES,133200
UZBEKISTAN,13385
VIETNAM,2554
YEMEN,3209
